date,amount,transaction_type
1990-01-01,380.7947177,transfer
1990-01-02,951.2071633,transfer
1990-01-03,734.6740024,stake
1990-01-04,602.6718994,transfer
1990-01-05,164.458454,swap
1990-01-06,164.4345751,withdraw
1990-01-07,67.50277605,withdraw
1990-01-08,867.5143843,transfer
1990-01-09,605.1038616,swap
1990-01-10,710.991852,swap
1990-01-11,30.37864935,swap
1990-01-12,970.2107536,withdraw
1990-01-13,834.1182144,swap
1990-01-14,220.2157196,swap
1990-01-15,190.0067175,transfer
1990-01-16,191.5704648,stake
1/17/1990 0:00:00,311.1998205,swap
1990-01-18,529.5088673,transfer
1990-01-19,437.6255685,transfer
1990-01-20,298.3168488,swap
1990-01-21,615.7343658,stake
1990-01-22,148.098922,withdraw
1990-01-23,299.223202,stake
1990-01-24,372.6982249,swap
1990-01-25,461.5092844,stake
1990-01-26,787.3242018,transfer
1990-01-27,207.6770443,transfer
1990-01-28,519.092094,stake
1990-01-29,596.4904232,withdraw
1990-01-30,55.98590859,stake
1990-01-31,611.4694034,swap
1990-02-01,178.8188825,withdraw
1990-02-02,74.40107706,stake
1990-02-03,949.3966819,stake
1990-02-04,965.9757127,withdraw
1990-02-05,810.3133746,stake
1990-02-06,311.5676315,swap
1990-02-07,106.6953929,transfer
1990-02-08,687.3906962,swap
1990-02-09,445.7509688,stake
1990-02-10,130.8178525,transfer
1990-02-11,500.225141,withdraw
1990-02-12,44.0446359,swap
1990-02-13,910.2271981,withdraw
1990-02-14,266.1921818,transfer
1990-02-15,665.8970615,stake
1990-02-16,318.5939653,transfer
1990-02-17,524.867341,transfer
1990-02-18,551.2431765,withdraw
1990-02-19,193.005911,swap
1990-02-20,969.8887815,transfer
1990-02-21,777.3814951,stake
1990-02-22,940.1039521,transfer
1990-02-23,895.8790769,withdraw
1990-02-24,601.920979,swap
1990-02-25,922.6554927,stake
1990-02-26,97.60757703,withdraw
1990-02-27,204.0230338,transfer
1990-02-28,54.77501602,transfer
1990-03-01,332.0770275,swap
1990-03-02,394.7905168,withdraw
1990-03-03,278.6355415,withdraw
1990-03-04,830.4501341,swap
1990-03-05,363.1857934,stake
1990-03-06,288.1251646,withdraw
1990-03-07,547.2691223,swap
1990-03-08,149.5149827,withdraw
1990-03-09,804.1750109,swap
1990-03-10,83.80513724,transfer
1990-03-11,987.0180672,transfer
1990-03-12,774.5223216,withdraw
1990-03-13,206.7285247,withdraw
1990-03-14,15.46689595,transfer
1990-03-15,817.3068142,stake
1990-03-16,709.7887704,swap
1990-03-17,731.7170964,stake
1990-03-18,773.5576432,stake
1990-03-19,83.30420522,stake
1990-03-20,364.8810713,transfer
1990-03-21,124.7103689,withdraw
1990-03-22,864.4723916,stake
1990-03-23,627.0651456,transfer
1990-03-24,337.5890446,swap
1990-03-25,72.92276678,withdraw
1990-03-26,317.8724985,swap
1990-03-27,331.9314888,stake
1990-03-28,732.3101166,withdraw
1990-03-29,641.1818966,stake
1990-03-30,888.3406152,withdraw
1990-03-31,477.4927759,stake
1990-04-01,128.3983035,swap
1990-04-02,716.1123394,swap
1990-04-03,763.1771981,stake
1990-04-04,565.6644256,withdraw
1990-04-05,773.2575082,swap
1990-04-06,498.8576404,withdraw
1990-04-07,527.5055011,withdraw
1990-04-08,433.2656082,swap
1990-04-09,35.16493548,transfer
1990-04-10,116.8125127,transfer
1990-04-11,41.11489383,withdraw
1990-04-12,640.0463072,swap
1990-04-13,321.2124213,transfer
1990-04-14,513.4849843,stake
1990-04-15,908.4908092,withdraw
1990-04-16,256.7993069,transfer
1990-04-17,416.2790938,swap
1990-04-18,757.9956272,swap
1990-04-19,236.5101838,withdraw
1990-04-20,86.21011073,swap
1990-04-21,296.8539384,stake
1990-04-22,169.6090744,stake
1990-04-23,930.4006758,transfer
1990-04-24,810.0391758,swap
1990-04-25,637.0697189,stake
1990-04-26,872.7459843,withdraw
1990-04-27,805.6353561,swap
1990-04-28,194.7043583,transfer
1990-04-29,893.6334085,withdraw
1990-04-30,543.9488195,withdraw
1990-05-01,809.3657536,withdraw
1990-05-02,897.1303869,stake
1990-05-03,324.8234402,withdraw
1990-05-04,118.9514053,stake
1990-05-05,235.6558109,withdraw
1990-05-06,432.8367107,stake
1990-05-07,819.8346183,swap
1990-05-08,862.1232774,stake
1990-05-09,16.88260923,stake
1990-05-10,515.6398296,swap
1990-05-11,423.2368931,withdraw
1990-05-12,229.8867324,swap
1990-05-13,128.6667137,withdraw
1990-05-14,344.2390197,stake
1990-05-15,943.4806069,withdraw
1990-05-16,329.9709027,stake
1990-05-17,523.6027155,withdraw
1990-05-18,705.9887693,stake
1990-05-19,369.9933064,stake
1990-05-20,972.0642619,transfer
1990-05-21,962.822822,withdraw
1990-05-22,259.2644729,withdraw
1990-05-23,502.2760208,transfer
1990-05-24,307.8695267,stake
1990-05-25,291.9920894,stake
1990-05-26,46.51807788,transfer
1990-05-27,613.4686906,transfer
1990-05-28,507.652233,swap
1990-05-29,60.96396374,stake
1990-05-30,285.8599996,swap
1990-05-31,909.1832271,withdraw
1990-06-01,247.1662718,swap
1990-06-02,153.4459234,transfer
1990-06-03,494.5582327,transfer
1990-06-04,985.7939496,transfer
1990-06-05,249.6347188,transfer
1990-06-06,675.4141919,swap
1990-06-07,764.0034192,swap
1990-06-08,245.2611686,swap
1990-06-09,730.9341851,transfer
1990-06-10,374.1053014,transfer
1990-06-11,635.9827723,stake
1990-06-12,637.1944137,stake
1990-06-13,540.4169372,transfer
1990-06-14,99.38687235,stake
1990-06-15,836.9494706,withdraw
1990-06-16,327.5722643,withdraw
1990-06-17,194.6533253,transfer
1990-06-18,50.36739014,swap
1990-06-19,594.9840138,withdraw
1990-06-20,680.7887182,withdraw
1990-06-21,26.42195064,swap
1990-06-22,516.9721277,stake
1990-06-23,234.2308174,swap
1990-06-24,648.7210625,stake
1990-06-25,182.6227647,stake
1990-06-26,694.0283607,swap
1990-06-27,392.8679928,stake
1990-06-28,937.3626888,withdraw
1990-06-29,146.1457347,transfer
1990-06-30,347.6556875,stake
1990-07-01,122.338786,withdraw
1990-07-02,925.4466821,swap
1990-07-03,878.5659598,stake
1990-07-04,265.3622114,withdraw
1990-07-05,663.3842056,stake
1990-07-06,819.0499782,swap
1990-07-07,559.6488035,transfer
1990-07-08,534.3540726,stake
1990-07-09,249.433768,transfer
1990-07-10,102.1717401,stake
1990-07-11,898.2436004,stake
1990-07-12,901.4138766,swap
1990-07-13,636.7704427,stake
1990-07-14,345.6394931,withdraw
1990-07-15,355.7174789,withdraw
1990-07-16,728.6961221,transfer
1990-07-17,898.1391574,transfer
1990-07-18,888.21556,withdraw
1990-07-19,782.0767904,transfer
1990-07-20,645.6113297,transfer
1990-07-21,93.29856535,withdraw
1990-07-22,170.012427,withdraw
1990-07-23,899.5686466,withdraw
1990-07-24,610.3647691,swap
1990-07-25,19.1050811,swap
1990-07-26,110.4568274,withdraw
1990-07-27,666.8667514,stake
1990-07-28,15.01096801,withdraw
1990-07-29,169.1999709,swap
1990-07-30,553.2464515,transfer
1990-07-31,694.9762457,stake
1990-08-01,655.4416469,stake
1990-08-02,232.0266164,transfer
1990-08-03,715.0574291,stake
1990-08-04,244.8765966,transfer
1990-08-05,332.1457012,swap
1990-08-06,749.0264911,stake
1990-08-07,653.1365701,stake
1990-08-08,850.7311764,transfer
1990-08-09,661.0367634,transfer
1990-08-10,572.6255173,swap
1990-08-11,102.7380201,transfer
1990-08-12,374.038645,transfer
1990-08-13,272.550344,swap
1990-08-14,251.5497469,withdraw
1990-08-15,973.2804492,withdraw
1990-08-16,399.1667474,transfer
1990-08-17,893.1260896,swap
1990-08-18,634.8272397,withdraw
